headline,label
현대오일뱅크 정유업계 유일 '흑자전환' 성공,1
해태제과 상장 첫 날부터 '상한가',1
계속되는 동학개미 물결에 증권株 주가 고공행진,0
이젠 독자를 찾아가야 할 시간,0
"덴티움 목표주가 낮아져 ""코로나19 창궐로 수출 감소 불가피""",0
[포춘US]기후 위기 | 플라스틱 재활용의 악순환,0
[공시]에스제이케이 136억 규모 일반3중 부직포 덴탈형 마스크 공급계약,1
2018년 경남 경제 10대 뉴스,0
눈 위에 서리…세계 경제 침체 국면에 지카바이러스까지,0
영암군 기찬 자연휴양림 조성사업 본격 추진,1
금융위 9월부터 조건부 주담대 현미경 검사 예고,0
<중국증시-마감> 기업 실적 기대에 상하이 상승…0.28%↑,1
고려아연 銀 가격 상승 실적 개선 기대-NH,1
코로나 속 영화관 누가 갈까…'혼영족'·1020관객 비중 증가,1
충북농업기술원 농식품 특허기술 통상실시권 계약 체결,1
'투자 빈손' 소프트뱅크 핵심멤버 줄사퇴?,-1
[장외주식]KDB생명 단기급등 부담 이틀째 급락,-1
STX조선 코로나 이후 첫 수주…6600톤급 탱커 3척 확보,1
[컨콜종합] 에쓰오일 “손실 대부분은 정유 부문…가동률 조정 없었다”,-1
[단독] 미래에셋 홍콩 부동산 투자 2800억 원 상환 연기 내막,0
LH 충남 아산시 ‘아산탕정2 도시개발구역’ 지정…사업 본격 추진,1
"의료 AI 딥노이드, 빅데이터 프로큐라티오와 협업",1
[윤용인의 노비문장] 힐링 다음은 뭐야?,0
게임빌 2Q 영업이익 전년比 흑자전환…게임사업 흑자+계열사 실적 호조,1
[뉴욕증시] 유가 급등 속 혼조세...다우 0.1%↑,1
'코로나 정리해고' 아시아나 하청노조 농성장 3번째 강제철거,-1
미국 증시 2.3% 상승…코로나 '진정'·기업실적 '기대 이상',1
‘러브콜’ 받는 LG그룹주…실적은 제각각,0
은성수 DLF 투자자 등에 “공짜점심 없다…자기 책임으로 투자해야”,0
[눈] 쌍용차 해고노동자 11년만의 출근,-1
카카오게임즈 기관 수요예측 D-1…'공모주린이'가 몰려온다,0
"코스닥, 20.57p(2.52%) 오른 836.31 마감",0
"[클릭 e종목] ""청담러닝, 중국 시장 진출로 매출 성장 기대""",1
상한가 잠깐 풀렸더니..SK바이오팜 1.5조원 거래됐다,1
미디어플렉스 '미스터 고' 실패 주가 반영…'관상'에 기대-신영,0
인천경제청 인하대 송도 11공구 매매계약 체결 가능,1
진매트릭스 상반기 영업익 39억…흑자전환,1
[fnRASSI]바이온 상한가 기록,1
공무원연금 적자 눈덩이…2045년엔 국민혈세 11조 들어간다,-1
"큐에스아이 상한가 … ""수요 늘어 실적 개선""",1
정유 4사 ‘실적 쇼크’ 현실로…1분기 영업손실 4조 전망,-1
[CEO LOUNGE] 배재훈 HMM 사장 | 21분기 만에 흑자…‘해운 부활’ 신호탄 쐈...,1
금감원 직원 정부 대책 발표 직전에 '암호화폐' 매도,0
"시진핑 부활?트럼프 굴욕?아베 몰락… 100억 富의 추월차선, 中 주식으로 이동? [한상춘의 지금 세계는]",0
SK D&D 상장 첫날 상한가 직행,1
이동걸의 결단 '대조양 딜' 만들었다,0
모더나 수주설에 급등한 ‘바이넥스’... “접촉한적 없다”,1
2018 미디어 시장 회고 그리고 희망은 계획이 아니다,0
[집중진단] 삼전 2Q 어닝 서프라이즈에도 주가 박스권 왜?,0
트루윈 2분기 영업이익 19억원으로 흑자전환 성공,1
코로나19 발생 폭락장에도 주가 오른 기업은?,0
제이준코스메틱 2분기 영업이익 3억원…흑자전환,1
"이스타항공 노조 가면 쓰고 ""정리해고 중단"" 촉구",-1
[기고] 가정 평화 위협하는 코로나,-1
“코로나 따위에 환자 생명 살리는 일 멈출 수 없죠”,-1
명품업계 불황에… “버버리 CEO 연봉 75% 삭감”,0
"냉동만두업계 경영난 무혐의 업체도 ""죽을 맛""",-1
"머스트자산운용, 태영건설 지분 4.61% 처분",0
홈센타홀딩스 “에이치씨군위산업 자회사에 편입 및 유형자산 취득계약 체결...,1
엔씨소프트 '3중고'에 발목 잡히나…BBIG 중 나홀로 주가 '역주행',0
오늘의 증시 메모[8월 26일],0
[속보] 코로나19 치료제 ‘렘데시비르’ 오늘부터 국내 공급,1
신한건축 대전서구 '갈마동 복합커뮤니티센터 건립사업' 설계용역 수주,1
농심 국내선 '깡' 해외선 '매운맛'이 매출 견인··· 목표가↑ [신영증권...,1
"'따상' 또 나올까..5G·2차전지 등판 ""물 만난 공모 시장""",1
한국조선해양 1주일간 총 7척·9억 달러 규모 선박 수주,1
LNG선이 효자 삼성중공업 1.8조 수주랠리,1
삼성電 2Q 영업익 1조 돌파 `실패`,0
[뉴욕마감]실적 불안 다우 1.9% 급락,-1
[뉴욕마감]실적 호조·유가 반등에 상승…다우 1.8만선 돌파,1
다음주 한국은행 및 금융위·금감원 일정,0
한진해운 자율협약 관련株 희비…한진칼·대한항공 강세,1
[특징주] 재영솔루텍 실적 개선 힘입어 上,1
한전 유리창호형 태양전지 사업화 추진…‘고층 빌딩에 적합’,1
[상보] LG전자 2분기 영업이익 4594억원…전년比 24.1%↓,-1
젠큐릭스 코로나19 진단키트 첫 미국 현지 공급계약 체결,1
돈맥경화에 대책없이 신주 찍어…과도한 할인율로 기존주주만 피해,-1
스마일게이트 아마존 게임즈와 북미·유럽 독점 유통계약 체결,1
[종합] LG전자 작년 매출 62조 '사상 최대'...영업익은 10% ↓,-1
열 배 오른 주식 금감원 조사 들어갔다는데..,0
中서 교복 한류 바람 분다…형지엘리트 학생복 연이어 수주,1
금감원 채용 서류전형 폐지… 전과정 '블라인드 채용' 진행,0
[시황종합]코스피 유가+실적 호조에 2020대 진입,0
SK바이오팜 임직원 평가차익 '서울 아파트 한 채'…평균 14억원,0
두산로지스틱스솔루션 해외 첫 프로젝트 수주,1
컴투스 '스카이랜더스: 링 오브 히어로즈'의 출시 초기성과 부진,1
한전 기술개발 통해 유리창호형 태양전지 사업화 추진,1
